name,jan,feb,mar,apr,may,increase
NVIDIA GeForce RTX 4060 Laptop GPU,-,-,-,0.24%,0.31%, +0.07%
Intel HD Graphics 4600,0.34%,0.30%,0.17%,0.31%,0.30%, -0.01%
Intel HD Graphics 4000,0.35%,0.31%,0.18%,0.30%,0.30%, 0.00%
NVIDIA GeForce GT 710,0.31%,0.27%,0.17%,0.27%,0.27%, 0.00%
NVIDIA GeForce 940M,0.32%,0.29%,0.17%,0.28%,0.27%, -0.01%
Intel Haswell,0.31%,0.26%,-,0.26%,0.26%, 0.00%
NVIDIA GeForce GTX 960M,0.32%,0.28%,0.18%,0.27%,0.26%, -0.01%
Intel UHD Graphics 630,0.29%,0.26%,0.15%,0.25%,0.26%, +0.01%
NVIDIA GeForce MX250,0.31%,0.29%,0.17%,0.27%,0.25%, -0.02%
AMD Radeon(TM) Graphics,0.16%,0.19%,-,0.23%,0.25%, +0.02%
Intel Ivy Bridge,0.28%,0.24%,-,0.24%,0.25%, +0.01%
AMD Radeon RX Vega 11 Graphics,0.28%,0.25%,0.16%,0.25%,0.24%, -0.01%
AMD Radeon RX 5600 XT,0.22%,0.23%,0.16%,0.24%,0.24%, 0.00%
AMD Radeon RX 5500 XT,0.23%,0.23%,0.16%,0.23%,0.23%, 0.00%
NVIDIA GeForce MX450,0.26%,0.25%,0.16%,0.24%,0.23%, -0.01%
AMD Radeon RX 6800 XT,0.21%,0.22%,0.15%,0.24%,0.23%, -0.01%
Intel(R) UHD Graphics 630,0.24%,0.22%,-,0.23%,0.22%, -0.01%
AMD Radeon RX 6500 XT,0.20%,0.20%,-,0.22%,0.22%, 0.00%
NVIDIA GeForce MX150,0.27%,0.24%,-,0.23%,0.21%, -0.02%
NVIDIA GeForce MX350,0.24%,0.22%,-,0.21%,0.21%, 0.00%
AMD Radeon RX 560,0.23%,0.21%,-,0.22%,0.21%, -0.01%
NVIDIA GeForce RTX 4070,-,-,-,-,0.21%, +0.21%
AMD Radeon RX 6900 XT,0.23%,0.21%,-,0.20%,0.20%, 0.00%
NVIDIA GeForce GTX 950,0.23%,0.22%,0.20%,0.21%,0.20%, -0.01%
NVIDIA GeForce RTX 2070 with Max-Q Design,0.22%,0.21%,-,0.20%,0.19%, -0.01%
Intel HD Graphics 3000,0.22%,0.20%,-,0.19%,0.19%, 0.00%
NVIDIA GeForce RTX 3080 Laptop GPU,0.21%,0.21%,-,0.19%,0.19%, 0.00%
Intel HD Graphics 5500,0.22%,0.20%,-,0.19%,0.19%, 0.00%
NVIDIA GeForce MX110,0.20%,0.19%,-,0.18%,0.17%, -0.01%
NVIDIA GeForce GTX 750,0.21%,0.19%,-,0.19%,0.17%, -0.02%
Intel(R) UHD Graphics 600,0.18%,0.16%,-,0.16%,0.17%, +0.01%
NVIDIA GeForce MX330,0.19%,0.18%,-,0.17%,0.17%, 0.00%
NVIDIA GeForce GT 720M,0.20%,0.18%,-,0.18%,0.17%, -0.01%
AMD Radeon RX 6650 XT,-,-,-,0.16%,0.16%, 0.00%
NVIDIA GeForce GTX 950M,0.20%,0.18%,-,0.17%,0.16%, -0.01%
NVIDIA GeForce MX130,0.18%,0.17%,-,0.17%,0.16%, -0.01%
AMD Radeon R7 Graphics,0.21%,0.18%,-,0.17%,0.16%, -0.01%
NVIDIA GeForce GTX 650,0.19%,0.17%,-,0.17%,0.16%, -0.01%
AMD Radeon RX 480,0.18%,0.17%,-,0.16%,0.16%, 0.00%
Other,9.67%,9.53%,9.08%,9.44%,9.48%, +0.04%
NVIDIA GeForce GTX 1650,6.68%,6.52%,4.20%,6.58%,6.47%, -0.11%
NVIDIA GeForce GTX 1060,5.65%,5.63%,8.14%,5.33%,5.30%, -0.03%
NVIDIA GeForce RTX 3060,3.92%,4.64%,11.05%,4.97%,5.24%, +0.27%
NVIDIA GeForce RTX 2060,4.67%,4.94%,8.35%,4.75%,4.84%, +0.09%
NVIDIA GeForce RTX 3060 Laptop GPU,4.75%,5.08%,3.21%,4.79%,4.84%, +0.05%
NVIDIA GeForce GTX 1050 Ti,4.64%,4.36%,3.27%,4.33%,4.10%, -0.23%
NVIDIA GeForce RTX 3060 Ti,2.86%,3.11%,5.24%,3.34%,3.56%, +0.22%
NVIDIA GeForce RTX 3070,2.84%,3.10%,5.62%,3.14%,3.26%, +0.12%
NVIDIA GeForce RTX 3050,2.57%,2.77%,2.04%,2.88%,2.98%, +0.10%
NVIDIA GeForce GTX 1660 SUPER,2.67%,2.68%,2.45%,2.87%,2.85%, -0.02%
NVIDIA GeForce GTX 1660 Ti,2.53%,2.49%,1.86%,2.41%,2.35%, -0.06%
AMD Radeon Graphics,2.17%,2.10%,1.27%,2.11%,2.19%, +0.08%
NVIDIA GeForce GTX 1050,2.43%,2.22%,1.44%,2.18%,2.12%, -0.06%
NVIDIA GeForce RTX 3080,2.02%,2.10%,2.72%,2.07%,2.09%, +0.02%
NVIDIA GeForce GTX 1070,1.89%,1.81%,1.45%,1.73%,1.67%, -0.06%
NVIDIA GeForce RTX 2070 SUPER,1.63%,1.65%,1.81%,1.56%,1.55%, -0.01%
NVIDIA GeForce GTX 1660,1.45%,1.53%,2.64%,1.50%,1.53%, +0.03%
NVIDIA GeForce RTX 3070 Ti,1.33%,1.44%,2.10%,1.46%,1.50%, +0.04%
NVIDIA GeForce RTX 2060 SUPER,1.23%,1.27%,2.03%,1.35%,1.38%, +0.03%
NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.28%,1.36%,0.84%,1.36%,1.38%, +0.02%
NVIDIA GeForce GTX 1650 Ti,1.28%,1.23%,0.76%,1.21%,1.17%, -0.04%
AMD Radeon RX 580,1.24%,1.17%,0.78%,1.18%,1.17%, -0.01%
NVIDIA GeForce RTX 2070,1.16%,1.23%,2.17%,1.15%,1.13%, -0.02%
NVIDIA GeForce GTX 1080,1.14%,1.12%,1.02%,1.06%,1.04%, -0.02%
NVIDIA GeForce RTX 3050 Laptop GPU,0.94%,1.03%,0.67%,0.99%,1.02%, +0.03%
NVIDIA GeForce RTX 3070 Laptop GPU,0.98%,1.00%,0.63%,0.94%,0.95%, +0.01%
AMD Radeon RX 570,0.97%,0.92%,0.62%,0.94%,0.91%, -0.03%
AMD Radeon Vega 8 Graphics,1.02%,0.93%,0.55%,0.91%,0.89%, -0.02%
NVIDIA GeForce GTX 1650 SUPER,0.87%,0.82%,0.55%,0.83%,0.80%, -0.03%
NVIDIA GeForce RTX 3080 Ti,0.82%,0.83%,0.64%,0.80%,0.78%, -0.02%
NVIDIA GeForce GT 1030,0.81%,0.75%,0.47%,0.74%,0.71%, -0.03%
AMD Radeon RX 5700 XT,0.70%,0.69%,0.46%,0.69%,0.70%, +0.01%
NVIDIA GeForce GTX 970,0.79%,0.74%,0.48%,0.70%,0.66%, -0.04%
NVIDIA GeForce GTX 1080 Ti,0.75%,0.69%,0.48%,0.67%,0.65%, -0.02%
NVIDIA GeForce GTX 960,0.76%,0.71%,0.68%,0.68%,0.64%, -0.04%
NVIDIA GeForce GTX 750 Ti,0.77%,0.68%,0.48%,0.68%,0.63%, -0.05%
Intel UHD Graphics 620,0.67%,0.63%,0.33%,0.60%,0.62%, +0.02%
NVIDIA GeForce RTX 2080 SUPER,0.59%,0.63%,0.83%,0.59%,0.58%, -0.01%
AMD Radeon RX 6700 XT,0.50%,0.50%,0.37%,0.57%,0.56%, -0.01%
NVIDIA GeForce RTX 3090,0.59%,0.55%,0.45%,0.54%,0.53%, -0.01%
NVIDIA GeForce GTX 1070 Ti,0.56%,0.57%,0.68%,0.54%,0.52%, -0.02%
AMD Radeon RX 6600,0.46%,0.47%,0.33%,0.52%,0.52%, 0.00%
NVIDIA GeForce RTX 2080,0.56%,0.55%,0.62%,0.53%,0.52%, -0.01%
NVIDIA GeForce RTX 4070 Ti,-,-,-,0.44%,0.49%, +0.05%
AMD Radeon Vega 3 Graphics,0.53%,0.49%,-,0.48%,0.47%, -0.01%
NVIDIA GeForce RTX 4090,-,0.33%,-,0.46%,0.47%, +0.01%
NVIDIA GeForce GT 730,0.53%,0.44%,-,0.46%,0.45%, -0.01%
AMD Radeon RX 6600 XT,0.42%,0.43%,0.36%,0.45%,0.45%, 0.00%
AMD Radeon RX 550,0.48%,0.45%,-,0.47%,0.44%, -0.03%
NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.40%,0.43%,-,0.42%,0.43%, +0.01%
NVIDIA GeForce RTX 2080 Ti,0.47%,0.47%,0.32%,0.44%,0.42%, -0.02%
Intel HD Graphics 620,0.43%,0.40%,-,0.38%,0.40%, +0.02%
NVIDIA GeForce RTX 3050 Ti,0.39%,0.41%,-,0.37%,0.38%, +0.01%
Intel HD Graphics 520,0.39%,0.36%,-,0.36%,0.35%, -0.01%
NVIDIA GeForce RTX 4080,-,-,-,0.31%,0.35%, +0.04%
Intel HD Graphics 4600,0.39%,0.34%,-,0.35%,0.35%, 0.00%
AMD Radeon RX 580 2048SP,-,-,-,0.33%,0.34%, +0.01%
NVIDIA GeForce RTX 4060 Laptop GPU,-,-,-,-,0.33%, +0.33%
